"StudySite","Operation","CommName","Count","RAI"
"A06",14,"Baboon",8,0.571428571428571
"A08",14,"Baboon",11,0.785714285714286
"A10",14,"Baboon",16,1.14285714285714
"B05",14,"Baboon",1,0.0714285714285714
"B07",14,"Baboon",2,0.142857142857143
"B09",14,"Baboon",1,0.0714285714285714
"C06",14,"Baboon",10,0.714285714285714
"C08",14,"Baboon",4,0.285714285714286
"D03",14,"Baboon",16,1.14285714285714
"D05",14,"Baboon",7,0.5
"D07",0,"Baboon",2,NA
"D09",0,"Baboon",0,NA
"E02",14,"Baboon",13,0.928571428571429
"E04",14,"Baboon",9,0.642857142857143
"E06",14,"Baboon",9,0.642857142857143
"E08",14,"Baboon",6,0.428571428571429
"E10",14,"Baboon",2,0.142857142857143
"E12",14,"Baboon",2,0.142857142857143
"F01",14,"Baboon",5,0.357142857142857
"F03",14,"Baboon",4,0.285714285714286
"F05",0,"Baboon",0,NA
"F07",14,"Baboon",6,0.428571428571429
"F09",14,"Baboon",0,0
"F11",14,"Baboon",7,0.5
"G02",14,"Baboon",8,0.571428571428571
"G04",14,"Baboon",8,0.571428571428571
"G06",14,"Baboon",15,1.07142857142857
"G08",14,"Baboon",16,1.14285714285714
"G10",14,"Baboon",10,0.714285714285714
"G12",14,"Baboon",2,0.142857142857143
"H03",14,"Baboon",14,1
"H05",14,"Baboon",35,2.5
"H07",14,"Baboon",8,0.571428571428571
"H09",14,"Baboon",5,0.357142857142857
"H11",14,"Baboon",16,1.14285714285714
"H13",14,"Baboon",8,0.571428571428571
"I04",14,"Baboon",8,0.571428571428571
"I06",14,"Baboon",3,0.214285714285714
"I08",14,"Baboon",5,0.357142857142857
"I10",14,"Baboon",11,0.785714285714286
"I12",14,"Baboon",9,0.642857142857143
"I14",14,"Baboon",3,0.214285714285714
"J03",14,"Baboon",5,0.357142857142857
"J05",14,"Baboon",4,0.285714285714286
"J07",14,"Baboon",4,0.285714285714286
"J09",14,"Baboon",2,0.142857142857143
"J11",14,"Baboon",3,0.214285714285714
"J13",14,"Baboon",11,0.785714285714286
"K04",0,"Baboon",0,NA
"K06",14,"Baboon",26,1.85714285714286
"K08",14,"Baboon",2,0.142857142857143
"K10",14,"Baboon",0,0
"K12",14,"Baboon",3,0.214285714285714
"L05",14,"Baboon",13,0.928571428571429
"L07",14,"Baboon",0,0
"L09",14,"Baboon",17,1.21428571428571
"L11",14,"Baboon",26,1.85714285714286
"L13",14,"Baboon",2,0.142857142857143
"M08",14,"Baboon",33,2.35714285714286
"M10",14,"Baboon",15,1.07142857142857
"A06",14,"Buffalo",0,0
"A08",14,"Buffalo",0,0
"A10",14,"Buffalo",0,0
"B05",14,"Buffalo",0,0
"B07",14,"Buffalo",0,0
"B09",14,"Buffalo",0,0
"C06",14,"Buffalo",0,0
"C08",14,"Buffalo",0,0
"D03",14,"Buffalo",0,0
"D05",14,"Buffalo",0,0
"D07",0,"Buffalo",0,NA
"D09",0,"Buffalo",0,NA
"E02",14,"Buffalo",0,0
"E04",14,"Buffalo",0,0
"E06",14,"Buffalo",0,0
"E08",14,"Buffalo",0,0
"E10",14,"Buffalo",0,0
"E12",14,"Buffalo",0,0
"F01",14,"Buffalo",0,0
"F03",14,"Buffalo",0,0
"F05",0,"Buffalo",0,NA
"F07",14,"Buffalo",0,0
"F09",14,"Buffalo",0,0
"F11",14,"Buffalo",0,0
"G02",14,"Buffalo",0,0
"G04",14,"Buffalo",0,0
"G06",14,"Buffalo",0,0
"G08",14,"Buffalo",0,0
"G10",14,"Buffalo",0,0
"G12",14,"Buffalo",0,0
"H03",14,"Buffalo",0,0
"H05",14,"Buffalo",0,0
"H07",14,"Buffalo",0,0
"H09",14,"Buffalo",0,0
"H11",14,"Buffalo",0,0
"H13",14,"Buffalo",0,0
"I04",14,"Buffalo",0,0
"I06",14,"Buffalo",0,0
"I08",14,"Buffalo",0,0
"I10",14,"Buffalo",0,0
"I12",14,"Buffalo",0,0
"I14",14,"Buffalo",0,0
"J03",14,"Buffalo",0,0
"J05",14,"Buffalo",0,0
"J07",14,"Buffalo",2,0.142857142857143
"J09",14,"Buffalo",0,0
"J11",14,"Buffalo",0,0
"J13",14,"Buffalo",0,0
"K04",0,"Buffalo",0,NA
"K06",14,"Buffalo",0,0
"K08",14,"Buffalo",0,0
"K10",14,"Buffalo",0,0
"K12",14,"Buffalo",0,0
"L05",14,"Buffalo",2,0.142857142857143
"L07",14,"Buffalo",0,0
"L09",14,"Buffalo",0,0
"L11",14,"Buffalo",0,0
"L13",14,"Buffalo",0,0
"M08",14,"Buffalo",0,0
"M10",14,"Buffalo",8,0.571428571428571
"A06",14,"Bushbuck",2,0.142857142857143
"A08",14,"Bushbuck",1,0.0714285714285714
"A10",14,"Bushbuck",1,0.0714285714285714
"B05",14,"Bushbuck",0,0
"B07",14,"Bushbuck",4,0.285714285714286
"B09",14,"Bushbuck",0,0
"C06",14,"Bushbuck",8,0.571428571428571
"C08",14,"Bushbuck",1,0.0714285714285714
"D03",14,"Bushbuck",21,1.5
"D05",14,"Bushbuck",11,0.785714285714286
"D07",0,"Bushbuck",4,NA
"D09",0,"Bushbuck",0,NA
"E02",14,"Bushbuck",8,0.571428571428571
"E04",14,"Bushbuck",3,0.214285714285714
"E06",14,"Bushbuck",11,0.785714285714286
"E08",14,"Bushbuck",1,0.0714285714285714
"E10",14,"Bushbuck",1,0.0714285714285714
"E12",14,"Bushbuck",6,0.428571428571429
"F01",14,"Bushbuck",15,1.07142857142857
"F03",14,"Bushbuck",1,0.0714285714285714
"F05",0,"Bushbuck",0,NA
"F07",14,"Bushbuck",3,0.214285714285714
"F09",14,"Bushbuck",0,0
"F11",14,"Bushbuck",12,0.857142857142857
"G02",14,"Bushbuck",5,0.357142857142857
"G04",14,"Bushbuck",2,0.142857142857143
"G06",14,"Bushbuck",4,0.285714285714286
"G08",14,"Bushbuck",3,0.214285714285714
"G10",14,"Bushbuck",2,0.142857142857143
"G12",14,"Bushbuck",0,0
"H03",14,"Bushbuck",2,0.142857142857143
"H05",14,"Bushbuck",0,0
"H07",14,"Bushbuck",5,0.357142857142857
"H09",14,"Bushbuck",1,0.0714285714285714
"H11",14,"Bushbuck",1,0.0714285714285714
"H13",14,"Bushbuck",2,0.142857142857143
"I04",14,"Bushbuck",10,0.714285714285714
"I06",14,"Bushbuck",0,0
"I08",14,"Bushbuck",5,0.357142857142857
"I10",14,"Bushbuck",2,0.142857142857143
"I12",14,"Bushbuck",1,0.0714285714285714
"I14",14,"Bushbuck",4,0.285714285714286
"J03",14,"Bushbuck",1,0.0714285714285714
"J05",14,"Bushbuck",6,0.428571428571429
"J07",14,"Bushbuck",11,0.785714285714286
"J09",14,"Bushbuck",5,0.357142857142857
"J11",14,"Bushbuck",0,0
"J13",14,"Bushbuck",12,0.857142857142857
"K04",0,"Bushbuck",0,NA
"K06",14,"Bushbuck",7,0.5
"K08",14,"Bushbuck",2,0.142857142857143
"K10",14,"Bushbuck",0,0
"K12",14,"Bushbuck",1,0.0714285714285714
"L05",14,"Bushbuck",60,4.28571428571429
"L07",14,"Bushbuck",0,0
"L09",14,"Bushbuck",14,1
"L11",14,"Bushbuck",13,0.928571428571429
"L13",14,"Bushbuck",1,0.0714285714285714
"M08",14,"Bushbuck",13,0.928571428571429
"M10",14,"Bushbuck",11,0.785714285714286
"A06",14,"Bushpig",0,0
"A08",14,"Bushpig",0,0
"A10",14,"Bushpig",1,0.0714285714285714
"B05",14,"Bushpig",0,0
"B07",14,"Bushpig",3,0.214285714285714
"B09",14,"Bushpig",0,0
"C06",14,"Bushpig",2,0.142857142857143
"C08",14,"Bushpig",1,0.0714285714285714
"D03",14,"Bushpig",1,0.0714285714285714
"D05",14,"Bushpig",2,0.142857142857143
"D07",0,"Bushpig",1,NA
"D09",0,"Bushpig",0,NA
"E02",14,"Bushpig",0,0
"E04",14,"Bushpig",0,0
"E06",14,"Bushpig",0,0
"E08",14,"Bushpig",0,0
"E10",14,"Bushpig",0,0
"E12",14,"Bushpig",0,0
"F01",14,"Bushpig",0,0
"F03",14,"Bushpig",0,0
"F05",0,"Bushpig",0,NA
"F07",14,"Bushpig",1,0.0714285714285714
"F09",14,"Bushpig",0,0
"F11",14,"Bushpig",0,0
"G02",14,"Bushpig",0,0
"G04",14,"Bushpig",0,0
"G06",14,"Bushpig",4,0.285714285714286
"G08",14,"Bushpig",0,0
"G10",14,"Bushpig",0,0
"G12",14,"Bushpig",0,0
"H03",14,"Bushpig",0,0
"H05",14,"Bushpig",2,0.142857142857143
"H07",14,"Bushpig",1,0.0714285714285714
"H09",14,"Bushpig",1,0.0714285714285714
"H11",14,"Bushpig",0,0
"H13",14,"Bushpig",0,0
"I04",14,"Bushpig",1,0.0714285714285714
"I06",14,"Bushpig",0,0
"I08",14,"Bushpig",1,0.0714285714285714
"I10",14,"Bushpig",0,0
"I12",14,"Bushpig",0,0
"I14",14,"Bushpig",0,0
"J03",14,"Bushpig",0,0
"J05",14,"Bushpig",1,0.0714285714285714
"J07",14,"Bushpig",1,0.0714285714285714
"J09",14,"Bushpig",0,0
"J11",14,"Bushpig",0,0
"J13",14,"Bushpig",0,0
"K04",0,"Bushpig",0,NA
"K06",14,"Bushpig",0,0
"K08",14,"Bushpig",0,0
"K10",14,"Bushpig",0,0
"K12",14,"Bushpig",0,0
"L05",14,"Bushpig",0,0
"L07",14,"Bushpig",0,0
"L09",14,"Bushpig",2,0.142857142857143
"L11",14,"Bushpig",1,0.0714285714285714
"L13",14,"Bushpig",1,0.0714285714285714
"M08",14,"Bushpig",1,0.0714285714285714
"M10",14,"Bushpig",0,0
"A06",14,"Duiker_common",0,0
"A08",14,"Duiker_common",0,0
"A10",14,"Duiker_common",0,0
"B05",14,"Duiker_common",0,0
"B07",14,"Duiker_common",3,0.214285714285714
"B09",14,"Duiker_common",0,0
"C06",14,"Duiker_common",0,0
"C08",14,"Duiker_common",1,0.0714285714285714
"D03",14,"Duiker_common",0,0
"D05",14,"Duiker_common",0,0
"D07",0,"Duiker_common",0,NA
"D09",0,"Duiker_common",0,NA
"E02",14,"Duiker_common",0,0
"E04",14,"Duiker_common",0,0
"E06",14,"Duiker_common",2,0.142857142857143
"E08",14,"Duiker_common",0,0
"E10",14,"Duiker_common",0,0
"E12",14,"Duiker_common",0,0
"F01",14,"Duiker_common",0,0
"F03",14,"Duiker_common",0,0
"F05",0,"Duiker_common",0,NA
"F07",14,"Duiker_common",0,0
"F09",14,"Duiker_common",0,0
"F11",14,"Duiker_common",0,0
"G02",14,"Duiker_common",0,0
"G04",14,"Duiker_common",0,0
"G06",14,"Duiker_common",0,0
"G08",14,"Duiker_common",0,0
"G10",14,"Duiker_common",0,0
"G12",14,"Duiker_common",0,0
"H03",14,"Duiker_common",0,0
"H05",14,"Duiker_common",0,0
"H07",14,"Duiker_common",0,0
"H09",14,"Duiker_common",0,0
"H11",14,"Duiker_common",0,0
"H13",14,"Duiker_common",0,0
"I04",14,"Duiker_common",0,0
"I06",14,"Duiker_common",0,0
"I08",14,"Duiker_common",0,0
"I10",14,"Duiker_common",0,0
"I12",14,"Duiker_common",0,0
"I14",14,"Duiker_common",0,0
"J03",14,"Duiker_common",0,0
"J05",14,"Duiker_common",0,0
"J07",14,"Duiker_common",0,0
"J09",14,"Duiker_common",0,0
"J11",14,"Duiker_common",0,0
"J13",14,"Duiker_common",0,0
"K04",0,"Duiker_common",0,NA
"K06",14,"Duiker_common",0,0
"K08",14,"Duiker_common",0,0
"K10",14,"Duiker_common",0,0
"K12",14,"Duiker_common",0,0
"L05",14,"Duiker_common",0,0
"L07",14,"Duiker_common",0,0
"L09",14,"Duiker_common",0,0
"L11",14,"Duiker_common",0,0
"L13",14,"Duiker_common",0,0
"M08",14,"Duiker_common",0,0
"M10",14,"Duiker_common",0,0
"A06",14,"Duiker_red",0,0
"A08",14,"Duiker_red",0,0
"A10",14,"Duiker_red",0,0
"B05",14,"Duiker_red",0,0
"B07",14,"Duiker_red",0,0
"B09",14,"Duiker_red",0,0
"C06",14,"Duiker_red",0,0
"C08",14,"Duiker_red",0,0
"D03",14,"Duiker_red",0,0
"D05",14,"Duiker_red",0,0
"D07",0,"Duiker_red",0,NA
"D09",0,"Duiker_red",0,NA
"E02",14,"Duiker_red",0,0
"E04",14,"Duiker_red",0,0
"E06",14,"Duiker_red",0,0
"E08",14,"Duiker_red",0,0
"E10",14,"Duiker_red",0,0
"E12",14,"Duiker_red",0,0
"F01",14,"Duiker_red",0,0
"F03",14,"Duiker_red",0,0
"F05",0,"Duiker_red",0,NA
"F07",14,"Duiker_red",0,0
"F09",14,"Duiker_red",0,0
"F11",14,"Duiker_red",0,0
"G02",14,"Duiker_red",0,0
"G04",14,"Duiker_red",0,0
"G06",14,"Duiker_red",0,0
"G08",14,"Duiker_red",0,0
"G10",14,"Duiker_red",2,0.142857142857143
"G12",14,"Duiker_red",0,0
"H03",14,"Duiker_red",0,0
"H05",14,"Duiker_red",0,0
"H07",14,"Duiker_red",0,0
"H09",14,"Duiker_red",0,0
"H11",14,"Duiker_red",0,0
"H13",14,"Duiker_red",1,0.0714285714285714
"I04",14,"Duiker_red",0,0
"I06",14,"Duiker_red",0,0
"I08",14,"Duiker_red",0,0
"I10",14,"Duiker_red",0,0
"I12",14,"Duiker_red",0,0
"I14",14,"Duiker_red",0,0
"J03",14,"Duiker_red",0,0
"J05",14,"Duiker_red",0,0
"J07",14,"Duiker_red",0,0
"J09",14,"Duiker_red",0,0
"J11",14,"Duiker_red",0,0
"J13",14,"Duiker_red",0,0
"K04",0,"Duiker_red",0,NA
"K06",14,"Duiker_red",0,0
"K08",14,"Duiker_red",0,0
"K10",14,"Duiker_red",0,0
"K12",14,"Duiker_red",0,0
"L05",14,"Duiker_red",0,0
"L07",14,"Duiker_red",0,0
"L09",14,"Duiker_red",0,0
"L11",14,"Duiker_red",0,0
"L13",14,"Duiker_red",0,0
"M08",14,"Duiker_red",0,0
"M10",14,"Duiker_red",0,0
"A06",14,"Elephant",0,0
"A08",14,"Elephant",1,0.0714285714285714
"A10",14,"Elephant",2,0.142857142857143
"B05",14,"Elephant",0,0
"B07",14,"Elephant",0,0
"B09",14,"Elephant",0,0
"C06",14,"Elephant",0,0
"C08",14,"Elephant",0,0
"D03",14,"Elephant",0,0
"D05",14,"Elephant",0,0
"D07",0,"Elephant",0,NA
"D09",0,"Elephant",0,NA
"E02",14,"Elephant",0,0
"E04",14,"Elephant",0,0
"E06",14,"Elephant",0,0
"E08",14,"Elephant",0,0
"E10",14,"Elephant",2,0.142857142857143
"E12",14,"Elephant",1,0.0714285714285714
"F01",14,"Elephant",0,0
"F03",14,"Elephant",0,0
"F05",0,"Elephant",0,NA
"F07",14,"Elephant",2,0.142857142857143
"F09",14,"Elephant",0,0
"F11",14,"Elephant",4,0.285714285714286
"G02",14,"Elephant",0,0
"G04",14,"Elephant",0,0
"G06",14,"Elephant",0,0
"G08",14,"Elephant",0,0
"G10",14,"Elephant",0,0
"G12",14,"Elephant",0,0
"H03",14,"Elephant",0,0
"H05",14,"Elephant",2,0.142857142857143
"H07",14,"Elephant",0,0
"H09",14,"Elephant",0,0
"H11",14,"Elephant",0,0
"H13",14,"Elephant",0,0
"I04",14,"Elephant",1,0.0714285714285714
"I06",14,"Elephant",0,0
"I08",14,"Elephant",0,0
"I10",14,"Elephant",0,0
"I12",14,"Elephant",0,0
"I14",14,"Elephant",0,0
"J03",14,"Elephant",3,0.214285714285714
"J05",14,"Elephant",0,0
"J07",14,"Elephant",0,0
"J09",14,"Elephant",0,0
"J11",14,"Elephant",0,0
"J13",14,"Elephant",0,0
"K04",0,"Elephant",0,NA
"K06",14,"Elephant",3,0.214285714285714
"K08",14,"Elephant",2,0.142857142857143
"K10",14,"Elephant",0,0
"K12",14,"Elephant",0,0
"L05",14,"Elephant",2,0.142857142857143
"L07",14,"Elephant",0,0
"L09",14,"Elephant",1,0.0714285714285714
"L11",14,"Elephant",1,0.0714285714285714
"L13",14,"Elephant",0,0
"M08",14,"Elephant",1,0.0714285714285714
"M10",14,"Elephant",3,0.214285714285714
"A06",14,"Hartebeest",0,0
"A08",14,"Hartebeest",0,0
"A10",14,"Hartebeest",0,0
"B05",14,"Hartebeest",8,0.571428571428571
"B07",14,"Hartebeest",0,0
"B09",14,"Hartebeest",1,0.0714285714285714
"C06",14,"Hartebeest",0,0
"C08",14,"Hartebeest",1,0.0714285714285714
"D03",14,"Hartebeest",0,0
"D05",14,"Hartebeest",0,0
"D07",0,"Hartebeest",0,NA
"D09",0,"Hartebeest",0,NA
"E02",14,"Hartebeest",0,0
"E04",14,"Hartebeest",0,0
"E06",14,"Hartebeest",0,0
"E08",14,"Hartebeest",0,0
"E10",14,"Hartebeest",0,0
"E12",14,"Hartebeest",0,0
"F01",14,"Hartebeest",0,0
"F03",14,"Hartebeest",0,0
"F05",0,"Hartebeest",0,NA
"F07",14,"Hartebeest",0,0
"F09",14,"Hartebeest",0,0
"F11",14,"Hartebeest",0,0
"G02",14,"Hartebeest",0,0
"G04",14,"Hartebeest",0,0
"G06",14,"Hartebeest",0,0
"G08",14,"Hartebeest",0,0
"G10",14,"Hartebeest",0,0
"G12",14,"Hartebeest",0,0
"H03",14,"Hartebeest",0,0
"H05",14,"Hartebeest",0,0
"H07",14,"Hartebeest",0,0
"H09",14,"Hartebeest",0,0
"H11",14,"Hartebeest",0,0
"H13",14,"Hartebeest",0,0
"I04",14,"Hartebeest",0,0
"I06",14,"Hartebeest",0,0
"I08",14,"Hartebeest",0,0
"I10",14,"Hartebeest",0,0
"I12",14,"Hartebeest",0,0
"I14",14,"Hartebeest",0,0
"J03",14,"Hartebeest",0,0
"J05",14,"Hartebeest",0,0
"J07",14,"Hartebeest",0,0
"J09",14,"Hartebeest",0,0
"J11",14,"Hartebeest",0,0
"J13",14,"Hartebeest",0,0
"K04",0,"Hartebeest",0,NA
"K06",14,"Hartebeest",0,0
"K08",14,"Hartebeest",0,0
"K10",14,"Hartebeest",0,0
"K12",14,"Hartebeest",0,0
"L05",14,"Hartebeest",0,0
"L07",14,"Hartebeest",0,0
"L09",14,"Hartebeest",0,0
"L11",14,"Hartebeest",0,0
"L13",14,"Hartebeest",0,0
"M08",14,"Hartebeest",0,0
"M10",14,"Hartebeest",0,0
"A06",14,"Impala",12,0.857142857142857
"A08",14,"Impala",0,0
"A10",14,"Impala",0,0
"B05",14,"Impala",7,0.5
"B07",14,"Impala",8,0.571428571428571
"B09",14,"Impala",1,0.0714285714285714
"C06",14,"Impala",1,0.0714285714285714
"C08",14,"Impala",0,0
"D03",14,"Impala",3,0.214285714285714
"D05",14,"Impala",5,0.357142857142857
"D07",0,"Impala",1,NA
"D09",0,"Impala",0,NA
"E02",14,"Impala",44,3.14285714285714
"E04",14,"Impala",4,0.285714285714286
"E06",14,"Impala",5,0.357142857142857
"E08",14,"Impala",2,0.142857142857143
"E10",14,"Impala",1,0.0714285714285714
"E12",14,"Impala",0,0
"F01",14,"Impala",14,1
"F03",14,"Impala",8,0.571428571428571
"F05",0,"Impala",0,NA
"F07",14,"Impala",7,0.5
"F09",14,"Impala",0,0
"F11",14,"Impala",0,0
"G02",14,"Impala",14,1
"G04",14,"Impala",3,0.214285714285714
"G06",14,"Impala",0,0
"G08",14,"Impala",0,0
"G10",14,"Impala",0,0
